ts,year,round,game_no,sport,league,market_family,n_way,market_label,home,away,date_text,odds,result
2026-07-28T00:04:07+00:00,2026,88,9004,bs,MLB,승패,2,,필라필리 11,4 뉴욕양키,07.27(월) 08:20,"1.45,2.24",홈승
2026-07-28T00:04:07+00:00,2026,88,9005,bs,MLB,승①패,3,승①패,필라필리 11,4 뉴욕양키,07.27(월) 08:20,"1.97,3.30,2.95",홈승
2026-07-28T00:04:07+00:00,2026,88,9006,bs,MLB,핸디캡,2,H -2.5,필라필리 8.5,4 뉴욕양키,07.27(월) 08:20,"2.64,1.32",핸디승
2026-07-28T00:04:07+00:00,2026,88,9007,bs,MLB,언더오버,2,U 7.5,필라필리,뉴욕양키,07.27(월) 08:20,"1.89,1.65",오버
2026-07-28T00:04:07+00:00,2026,88,9008,bs,MLB,승패,2,,필라필리,뉴욕양키,07.27(월) 08:20,"1.55,2.04",홀
2026-07-28T00:04:07+00:00,2026,88,9009,bs,MLB,승무패,3,h(전반),필라필리 6,3 뉴욕양키,07.27(월) 08:20,"1.75,5.20,2.60",홈승
2026-07-28T00:04:07+00:00,2026,88,9010,bs,MLB,핸디캡,2,h H -1.5,필라필리 4.5,3 뉴욕양키,07.27(월) 08:20,"2.26,1.44",핸디승
2026-07-28T00:04:07+00:00,2026,88,9011,bs,MLB,언더오버,2,h U 4.5,필라필리,뉴욕양키,07.27(월) 08:20,"1.65,1.89",오버
2026-07-28T00:04:07+00:00,2026,88,9012,sc,엘리테세,승무패,3,,로센보르 4,0 프레드릭,07.28(화) 02:00,"1.47,3.95,4.65",홈승
2026-07-28T00:04:07+00:00,2026,88,9013,sc,엘리테세,핸디캡,3,H -1.0,로센보르 3,0 프레드릭,07.28(화) 02:00,"2.45,3.20,2.33",핸디승
2026-07-28T00:04:07+00:00,2026,88,9014,sc,엘리테세,언더오버,2,U 2.5,로센보르,프레드릭,07.28(화) 02:00,"1.94,1.61",오버
2026-07-28T00:04:07+00:00,2026,88,9015,sc,엘리테세,승패,2,,로센보르,프레드릭,07.28(화) 02:00,"1.77,1.75",짝
2026-07-28T00:04:07+00:00,2026,88,9016,bs,MLB,승패,2,,텍사레인 7,3 시애매리,07.28(화) 03:35,"2.00,1.57",홈승
2026-07-28T00:04:07+00:00,2026,88,9017,bs,MLB,승①패,3,승①패,텍사레인 7,3 시애매리,07.28(화) 03:35,"3.05,3.25,1.95",홈승
2026-07-28T00:04:07+00:00,2026,88,9018,bs,MLB,핸디캡,2,H +2.5,텍사레인 9.5,3 시애매리,07.28(화) 03:35,"1.34,2.56",핸디승
2026-07-28T00:04:07+00:00,2026,88,9019,bs,MLB,언더오버,2,U 7.5,텍사레인,시애매리,07.28(화) 03:35,"1.79,1.73",오버
2026-07-28T00:04:07+00:00,2026,88,9020,bs,MLB,승패,2,,텍사레인,시애매리,07.28(화) 03:35,"1.55,2.04",짝
2026-07-28T00:04:07+00:00,2026,88,9021,bs,MLB,승패,2,,피츠파이 0,0 애리다이,07.28(화) 07:40,"1.69,1.84",6회초
2026-07-28T00:04:07+00:00,2026,88,9022,bs,MLB,승①패,3,승①패,피츠파이 0,0 애리다이,07.28(화) 07:40,"2.40,3.30,2.33",6회초
2026-07-28T00:04:07+00:00,2026,88,9023,bs,MLB,핸디캡,2,H -2.5,피츠파이 -2.5,0 애리다이,07.28(화) 07:40,"3.30,1.20",6회초
2026-07-28T00:04:07+00:00,2026,88,9024,bs,MLB,언더오버,2,U 8.5,피츠파이,애리다이,07.28(화) 07:40,"1.90,1.64",6회초
2026-07-28T00:04:07+00:00,2026,88,9025,bs,MLB,승패,2,,피츠파이,애리다이,07.28(화) 07:40,"1.55,2.04",6회초
2026-07-28T00:04:07+00:00,2026,88,9026,bs,MLB,승패,2,,마이말린 5,2 필라필리,07.28(화) 07:40,"2.29,1.43",5회초
2026-07-28T00:04:07+00:00,2026,88,9027,bs,MLB,승①패,3,승①패,마이말린 5,2 필라필리,07.28(화) 07:40,"3.45,3.45,1.76",5회초
2026-07-28T00:04:07+00:00,2026,88,9028,bs,MLB,핸디캡,2,H +2.5,마이말린 7.5,2 필라필리,07.28(화) 07:40,"1.45,2.24",5회초
2026-07-28T00:04:07+00:00,2026,88,9029,bs,MLB,언더오버,2,U 7.5,마이말린,필라필리,07.28(화) 07:40,"1.82,1.70",5회초
2026-07-28T00:04:07+00:00,2026,88,9030,bs,MLB,승패,2,,마이말린,필라필리,07.28(화) 07:40,"1.55,2.04",5회초
2026-07-28T00:04:07+00:00,2026,88,9031,bs,MLB,승패,2,,디트타이 3,4 볼티오리,07.28(화) 07:40,"1.72,1.80",5회초
2026-07-28T00:04:07+00:00,2026,88,9032,bs,MLB,승①패,3,승①패,디트타이 3,4 볼티오리,07.28(화) 07:40,"2.45,3.30,2.28",5회초
2026-07-28T00:04:07+00:00,2026,88,9033,bs,MLB,핸디캡,2,H -2.5,디트타이 0.5,4 볼티오리,07.28(화) 07:40,"3.46,1.18",5회초
2026-07-28T00:04:07+00:00,2026,88,9034,bs,MLB,언더오버,2,U 8.5,디트타이,볼티오리,07.28(화) 07:40,"1.75,1.77",5회초
2026-07-28T00:04:07+00:00,2026,88,9035,bs,MLB,승패,2,,디트타이,볼티오리,07.28(화) 07:40,"1.55,2.04",5회초
2026-07-28T00:04:07+00:00,2026,88,9036,bs,MLB,승패,2,,워싱내셔 1,3 토론블루,07.28(화) 07:45,"1.68,1.85",4회초
2026-07-28T00:04:07+00:00,2026,88,9037,bs,MLB,승①패,3,승①패,워싱내셔 1,3 토론블루,07.28(화) 07:45,"2.28,3.50,2.35",4회초
2026-07-28T00:04:07+00:00,2026,88,9038,bs,MLB,핸디캡,2,H -2.5,워싱내셔 -1.5,3 토론블루,07.28(화) 07:45,"2.97,1.25",4회초
2026-07-28T00:04:07+00:00,2026,88,9039,bs,MLB,언더오버,2,U 9.5,워싱내셔,토론블루,07.28(화) 07:45,"1.81,1.71",4회초
2026-07-28T00:04:07+00:00,2026,88,9040,bs,MLB,승패,2,,워싱내셔,토론블루,07.28(화) 07:45,"1.56,2.02",4회초
2026-07-28T00:04:07+00:00,2026,88,9041,bs,MLB,승패,2,,뉴욕메츠 3,3 애틀브레,07.28(화) 08:10,"1.82,1.70",4회초
2026-07-28T00:04:07+00:00,2026,88,9042,bs,MLB,승①패,3,승①패,뉴욕메츠 3,3 애틀브레,07.28(화) 08:10,"2.70,3.25,2.12",4회초
2026-07-28T00:04:07+00:00,2026,88,9043,bs,MLB,핸디캡,2,H +2.5,뉴욕메츠 5.5,3 애틀브레,07.28(화) 08:10,"1.28,2.82",4회초
2026-07-28T00:04:07+00:00,2026,88,9044,bs,MLB,언더오버,2,U 8.5,뉴욕메츠,애틀브레,07.28(화) 08:10,"1.74,1.78",4회초
2026-07-28T00:04:07+00:00,2026,88,9045,bs,MLB,승패,2,,뉴욕메츠,애틀브레,07.28(화) 08:10,"1.55,2.04",4회초
2026-07-28T00:04:07+00:00,2026,88,9046,bs,MLB,승패,2,,신시레즈,클리가디,07.28(화) 08:10,"1.39,2.40",경기연기
2026-07-28T00:04:07+00:00,2026,88,9047,bs,MLB,승①패,3,승①패,신시레즈,클리가디,07.28(화) 08:10,"1.87,3.50,3.05",경기연기
2026-07-28T00:04:07+00:00,2026,88,9048,bs,MLB,핸디캡,2,H -2.5,신시레즈,클리가디,07.28(화) 08:10,"2.53,1.35",경기연기
2026-07-28T00:04:07+00:00,2026,88,9049,bs,MLB,언더오버,2,U 8.5,신시레즈,클리가디,07.28(화) 08:10,"1.79,1.73",경기연기
2026-07-28T00:04:07+00:00,2026,88,9050,bs,MLB,승패,2,,신시레즈,클리가디,07.28(화) 08:10,"1.56,2.02",경기연기
2026-07-28T00:04:07+00:00,2026,88,9051,bs,MLB,승패,2,,시카화이 0,0 뉴욕양키,07.28(화) 08:40,"2.13,1.50",1회초
2026-07-28T00:04:07+00:00,2026,88,9052,bs,MLB,승①패,3,승①패,시카화이 0,0 뉴욕양키,07.28(화) 08:40,"3.10,3.60,1.82",1회초
2026-07-28T00:04:07+00:00,2026,88,9053,bs,MLB,핸디캡,2,H +2.5,시카화이 2.5,0 뉴욕양키,07.28(화) 08:40,"1.36,2.49",1회초
2026-07-28T00:04:07+00:00,2026,88,9054,bs,MLB,언더오버,2,U 8.5,시카화이,뉴욕양키,07.28(화) 08:40,"1.85,1.68",1회초
2026-07-28T00:04:07+00:00,2026,88,9055,bs,MLB,승패,2,,시카화이,뉴욕양키,07.28(화) 08:40,"1.56,2.02",1회초
2026-07-28T00:04:07+00:00,2026,88,9056,bs,MLB,승패,2,,세인카디,시카컵스,07.28(화) 08:45,"1.77,1.75",경기지연
2026-07-28T00:04:07+00:00,2026,88,9057,bs,MLB,승①패,3,승①패,세인카디,시카컵스,07.28(화) 08:45,"2.55,3.35,2.18",경기지연
2026-07-28T00:04:07+00:00,2026,88,9058,bs,MLB,핸디캡,2,H +2.5,세인카디,시카컵스,07.28(화) 08:45,"1.27,2.87",경기지연
2026-07-28T00:04:07+00:00,2026,88,9059,bs,MLB,언더오버,2,U 9.5,세인카디,시카컵스,07.28(화) 08:45,"1.86,1.67",경기지연
2026-07-28T00:04:07+00:00,2026,88,9060,bs,MLB,승패,2,,세인카디,시카컵스,07.28(화) 08:45,"1.56,2.02",경기지연
2026-07-28T00:04:07+00:00,2026,88,9061,bs,MLB,승패,2,,LA에인절,휴스애스,07.28(화) 10:38,"1.82,1.70",경기전
2026-07-28T00:04:07+00:00,2026,88,9062,bs,MLB,승①패,3,승①패,LA에인절,휴스애스,07.28(화) 10:38,"2.65,3.25,2.15",경기전
2026-07-28T00:04:07+00:00,2026,88,9063,bs,MLB,핸디캡,2,H +2.5,LA에인절,휴스애스,07.28(화) 10:38,"1.27,2.87",경기전
2026-07-28T00:04:07+00:00,2026,88,9064,bs,MLB,언더오버,2,U 8.5,LA에인절,휴스애스,07.28(화) 10:38,"1.68,1.85",경기전
2026-07-28T00:04:07+00:00,2026,88,9065,bs,MLB,승패,2,,LA에인절,휴스애스,07.28(화) 10:38,"1.55,2.04",경기전
2026-07-28T00:04:07+00:00,2026,88,9066,bs,MLB,승패,2,,애슬레틱,보스레드,07.28(화) 10:40,"2.31,1.42",경기전
2026-07-28T00:04:07+00:00,2026,88,9067,bs,MLB,승①패,3,승①패,애슬레틱,보스레드,07.28(화) 10:40,"3.45,3.75,1.69",경기전
2026-07-28T00:04:07+00:00,2026,88,9068,bs,MLB,핸디캡,2,H +2.5,애슬레틱,보스레드,07.28(화) 10:40,"1.45,2.24",경기전
