ts,year,round,game_no,sport,league,market_family,n_way,market_label,home,away,date_text,odds,result
2026-08-22T00:03:12+00:00,2026,98,4726,bs,MLB,승패,2,,뉴욕메츠 2,5 샌디파드,08.19(수) 08:10,"1.79,1.73",홈패
2026-08-22T00:03:12+00:00,2026,98,4727,bs,MLB,승①패,3,승①패,뉴욕메츠 2,5 샌디파드,08.19(수) 08:10,"2.60,3.30,2.17",홈패
2026-08-22T00:03:12+00:00,2026,98,4728,bs,MLB,핸디캡,2,H +2.5,뉴욕메츠 4.5,5 샌디파드,08.19(수) 08:10,"1.27,2.87",핸디패
2026-08-22T00:03:12+00:00,2026,98,4729,bs,MLB,언더오버,2,U 8.5,뉴욕메츠,샌디파드,08.19(수) 08:10,"1.80,1.72",언더
2026-08-22T00:03:12+00:00,2026,98,4730,bs,MLB,홀짝,2,,뉴욕메츠,샌디파드,08.19(수) 08:10,"1.59,2.07",홀
2026-08-22T00:03:12+00:00,2026,98,4731,bs,MLB,승패,2,,보스레드 9,4 애리다이,08.19(수) 08:10,"1.43,2.29",홈승
2026-08-22T00:03:12+00:00,2026,98,4732,bs,MLB,승①패,3,승①패,보스레드 9,4 애리다이,08.19(수) 08:10,"1.92,3.40,3.00",홈승
2026-08-22T00:03:12+00:00,2026,98,4733,bs,MLB,핸디캡,2,H -2.5,보스레드 6.5,4 애리다이,08.19(수) 08:10,"2.56,1.34",핸디승
2026-08-22T00:03:12+00:00,2026,98,4734,bs,MLB,언더오버,2,U 8.5,보스레드,애리다이,08.19(수) 08:10,"1.75,1.77",오버
2026-08-22T00:03:12+00:00,2026,98,4735,bs,MLB,홀짝,2,,보스레드,애리다이,08.19(수) 08:10,"1.59,2.07",홀
2026-08-22T00:03:12+00:00,2026,98,4736,bs,MLB,승패,2,,미네트윈 4,1 애틀브레,08.19(수) 08:40,"1.93,1.62",홈승
2026-08-22T00:03:12+00:00,2026,98,4737,bs,MLB,승①패,3,승①패,미네트윈 4,1 애틀브레,08.19(수) 08:40,"2.85,3.35,2.00",홈승
2026-08-22T00:03:12+00:00,2026,98,4738,bs,MLB,핸디캡,2,H +2.5,미네트윈 6.5,1 애틀브레,08.19(수) 08:40,"1.32,2.64",핸디승
2026-08-22T00:03:12+00:00,2026,98,4739,bs,MLB,언더오버,2,U 8.5,미네트윈,애틀브레,08.19(수) 08:40,"1.80,1.72",언더
2026-08-22T00:03:12+00:00,2026,98,4740,bs,MLB,홀짝,2,,미네트윈,애틀브레,08.19(수) 08:40,"1.59,2.07",홀
2026-08-22T00:03:12+00:00,2026,98,4741,bs,MLB,승패,2,,밀워브루 22,0 시애매리,08.19(수) 08:40,"1.49,2.15",홈승
2026-08-22T00:03:12+00:00,2026,98,4742,bs,MLB,승①패,3,승①패,밀워브루 22,0 시애매리,08.19(수) 08:40,"1.98,3.40,2.85",홈승
2026-08-22T00:03:12+00:00,2026,98,4743,bs,MLB,핸디캡,2,H -2.5,밀워브루 19.5,0 시애매리,08.19(수) 08:40,"2.77,1.29",핸디승
2026-08-22T00:03:12+00:00,2026,98,4744,bs,MLB,언더오버,2,U 7.5,밀워브루,시애매리,08.19(수) 08:40,"1.85,1.68",오버
2026-08-22T00:03:12+00:00,2026,98,4745,bs,MLB,홀짝,2,,밀워브루,시애매리,08.19(수) 08:40,"1.59,2.07",짝
2026-08-22T00:03:12+00:00,2026,98,4746,bs,MLB,승패,2,,캔자로얄 4,3 애슬레틱,08.19(수) 08:40,"1.55,2.04",홈승
2026-08-22T00:03:12+00:00,2026,98,4747,bs,MLB,승①패,3,승①패,캔자로얄 4,3 애슬레틱,08.19(수) 08:40,"2.16,3.50,2.50",①
2026-08-22T00:03:12+00:00,2026,98,4748,bs,MLB,핸디캡,2,H -2.5,캔자로얄 1.5,3 애슬레틱,08.19(수) 08:40,"2.77,1.29",핸디패
2026-08-22T00:03:12+00:00,2026,98,4749,bs,MLB,언더오버,2,U 9.5,캔자로얄,애슬레틱,08.19(수) 08:40,"1.80,1.72",언더
2026-08-22T00:03:12+00:00,2026,98,4750,bs,MLB,홀짝,2,,캔자로얄,애슬레틱,08.19(수) 08:40,"1.59,2.07",홀
2026-08-22T00:03:12+00:00,2026,98,4751,bs,MLB,승패,2,,텍사레인 5,0 워싱내셔,08.19(수) 09:05,"1.49,2.15",홈승
2026-08-22T00:03:12+00:00,2026,98,4752,bs,MLB,승①패,3,승①패,텍사레인 5,0 워싱내셔,08.19(수) 09:05,"2.03,3.35,2.80",홈승
2026-08-22T00:03:12+00:00,2026,98,4753,bs,MLB,핸디캡,2,H -2.5,텍사레인 2.5,0 워싱내셔,08.19(수) 09:05,"2.72,1.30",핸디승
2026-08-22T00:03:12+00:00,2026,98,4754,bs,MLB,언더오버,2,U 8.5,텍사레인,워싱내셔,08.19(수) 09:05,"1.67,1.86",언더
2026-08-22T00:03:12+00:00,2026,98,4755,bs,MLB,홀짝,2,,텍사레인,워싱내셔,08.19(수) 09:05,"1.59,2.07",홀
2026-08-22T00:03:12+00:00,2026,98,4756,bs,MLB,승패,2,,시카컵스 4,3 시카화이,08.19(수) 09:05,"1.45,2.24",홈승
2026-08-22T00:03:12+00:00,2026,98,4757,bs,MLB,승①패,3,승①패,시카컵스 4,3 시카화이,08.19(수) 09:05,"1.96,3.40,2.90",①
2026-08-22T00:03:12+00:00,2026,98,4758,bs,MLB,핸디캡,2,H -2.5,시카컵스 1.5,3 시카화이,08.19(수) 09:05,"2.60,1.33",핸디패
2026-08-22T00:03:12+00:00,2026,98,4759,bs,MLB,언더오버,2,U 8.5,시카컵스,시카화이,08.19(수) 09:05,"2.00,1.57",언더
2026-08-22T00:03:12+00:00,2026,98,4760,bs,MLB,홀짝,2,,시카컵스,시카화이,08.19(수) 09:05,"1.59,2.07",홀
2026-08-22T00:03:12+00:00,2026,98,4761,bs,MLB,승패,2,,휴스애스 1,3 LA에인절,08.19(수) 09:10,"1.48,2.17",홈패
2026-08-22T00:03:12+00:00,2026,98,4762,bs,MLB,승①패,3,승①패,휴스애스 1,3 LA에인절,08.19(수) 09:10,"2.01,3.40,2.80",홈패
