ts,year,round,game_no,sport,league,market_family,n_way,market_label,home,away,date_text,odds,result
2026-09-05T00:12:19+00:00,2026,105,8705,bs,MLB,승패,2,,시카컵스 2,1 밀워브루,09.04(금) 08:15,"1.9,1.64",홈승
2026-09-05T00:12:19+00:00,2026,105,8706,bs,MLB,승①패,3,승①패,시카컵스 2,1 밀워브루,09.04(금) 08:15,"2.7,3.4,2.06",①
2026-09-05T00:12:19+00:00,2026,105,8707,bs,MLB,핸디캡,2,H +2.5,시카컵스 4.5,1 밀워브루,09.04(금) 08:15,"1.26,2.92",핸디승
2026-09-05T00:12:19+00:00,2026,105,8708,bs,MLB,언더오버,2,U 8.5,시카컵스,밀워브루,09.04(금) 08:15,"1.66,1.87",언더
2026-09-05T00:12:19+00:00,2026,105,8709,bs,MLB,홀짝,2,,시카컵스,밀워브루,09.04(금) 08:15,"1.58,2.09",홀
2026-09-05T00:12:19+00:00,2026,105,8710,bs,MLB,승패,2,,볼티오리 5,6 보스레드,09.04(금) 08:15,"1.93,1.62",홈패
2026-09-05T00:12:19+00:00,2026,105,8711,bs,MLB,승①패,3,승①패,볼티오리 5,6 보스레드,09.04(금) 08:15,"2.85,3.3,2.02",①
2026-09-05T00:12:19+00:00,2026,105,8712,bs,MLB,핸디캡,2,H +2.5,볼티오리 7.5,6 보스레드,09.04(금) 08:15,"1.32,2.64",핸디승
2026-09-05T00:12:19+00:00,2026,105,8713,bs,MLB,언더오버,2,U 8.5,볼티오리,보스레드,09.04(금) 08:15,"1.74,1.78",오버
2026-09-05T00:12:19+00:00,2026,105,8714,bs,MLB,홀짝,2,,볼티오리,보스레드,09.04(금) 08:15,"1.59,2.07",홀
2026-09-05T00:12:19+00:00,2026,105,8715,bs,MLB,승패,2,,캔자로얄 7,3 마이말린,09.04(금) 08:40,"1.8,1.72",홈승
2026-09-05T00:12:19+00:00,2026,105,8716,bs,MLB,승①패,3,승①패,캔자로얄 7,3 마이말린,09.04(금) 08:40,"2.6,3.35,2.14",홈승
2026-09-05T00:12:19+00:00,2026,105,8717,bs,MLB,핸디캡,2,H +2.5,캔자로얄 9.5,3 마이말린,09.04(금) 08:40,"1.27,2.87",핸디승
2026-09-05T00:12:19+00:00,2026,105,8718,bs,MLB,언더오버,2,U 9.5,캔자로얄,마이말린,09.04(금) 08:40,"1.61,1.94",오버
2026-09-05T00:12:19+00:00,2026,105,8719,bs,MLB,홀짝,2,,캔자로얄,마이말린,09.04(금) 08:40,"1.59,2.07",짝
2026-09-05T00:12:19+00:00,2026,105,8720,bs,MLB,승패,2,,텍사레인 6,0 탬파레이,09.04(금) 09:05,"1.93,1.62",홈승
2026-09-05T00:12:19+00:00,2026,105,8721,bs,MLB,승①패,3,승①패,텍사레인 6,0 탬파레이,09.04(금) 09:05,"2.9,3.2,2.03",홈승
2026-09-05T00:12:19+00:00,2026,105,8722,bs,MLB,핸디캡,2,H +2.5,텍사레인 8.5,0 탬파레이,09.04(금) 09:05,"1.31,2.68",핸디승
2026-09-05T00:12:19+00:00,2026,105,8723,bs,MLB,언더오버,2,U 7.5,텍사레인,탬파레이,09.04(금) 09:05,"1.78,1.74",언더
2026-09-05T00:12:19+00:00,2026,105,8724,bs,MLB,홀짝,2,,텍사레인,탬파레이,09.04(금) 09:05,"1.58,2.09",짝
2026-09-05T00:12:19+00:00,2026,105,8725,bs,MLB,승패,2,,시애매리 4,7 애슬레틱,09.04(금) 10:40,"1.34,2.56",홈패
2026-09-05T00:12:19+00:00,2026,105,8726,bs,MLB,승①패,3,승①패,시애매리 4,7 애슬레틱,09.04(금) 10:40,"1.8,3.35,3.4",홈패
2026-09-05T00:12:19+00:00,2026,105,8727,bs,MLB,핸디캡,2,H -2.5,시애매리 1.5,7 애슬레틱,09.04(금) 10:40,"2.37,1.4",핸디패
2026-09-05T00:12:19+00:00,2026,105,8728,bs,MLB,언더오버,2,U 7.5,시애매리,애슬레틱,09.04(금) 10:40,"1.79,1.73",오버
2026-09-05T00:12:19+00:00,2026,105,8729,bs,MLB,홀짝,2,,시애매리,애슬레틱,09.04(금) 10:40,"1.59,2.07",홀
2026-09-05T00:12:19+00:00,2026,105,8730,bs,MLB,승패,2,,LA다저스 3,2 세인카디,09.04(금) 11:10,"1.24,3.03",홈승
2026-09-05T00:12:19+00:00,2026,105,8731,bs,MLB,승①패,3,승①패,LA다저스 3,2 세인카디,09.04(금) 11:10,"1.58,3.65,4.1",①
2026-09-05T00:12:19+00:00,2026,105,8732,bs,MLB,핸디캡,2,H -2.5,LA다저스 0.5,2 세인카디,09.04(금) 11:10,"1.94,1.61",핸디패
2026-09-05T00:12:19+00:00,2026,105,8733,bs,MLB,언더오버,2,U 7.5,LA다저스,세인카디,09.04(금) 11:10,"1.89,1.65",언더
2026-09-05T00:12:19+00:00,2026,105,8734,bs,MLB,홀짝,2,,LA다저스,세인카디,09.04(금) 11:10,"1.61,2.04",홀
2026-09-05T00:12:19+00:00,2026,105,8735,bs,MLB,전반승무패,3,h(전반),LA다저스 1,2 세인카디,09.04(금) 11:10,"1.42,5.8,3.65",홈패
2026-09-05T00:12:19+00:00,2026,105,8736,bs,MLB,전반핸디캡,2,h H -1.5,LA다저스 -0.5,2 세인카디,09.04(금) 11:10,"1.89,1.65",핸디패
2026-09-05T00:12:19+00:00,2026,105,8737,bs,MLB,전반언더오버,2,h U 4.5,LA다저스,세인카디,09.04(금) 11:10,"1.63,1.91",언더
2026-09-05T00:12:19+00:00,2026,105,8738,vl,남배아선,승패,2,,한국M 3,1 대만M,09.04(금) 16:00,"1.16,3.65",홈승
2026-09-05T00:12:19+00:00,2026,105,8739,vl,남배아선,핸디캡,2,H -1.5,한국M 1.5,1 대만M,09.04(금) 16:00,"1.41,2.34",핸디승
2026-09-05T00:12:19+00:00,2026,105,8740,vl,남배아선,언더오버,2,U 179.5,한국M,대만M,09.04(금) 16:00,"1.76,1.76",오버
2026-09-05T00:12:19+00:00,2026,105,8741,vl,남배아선,홀짝,2,,한국M,대만M,09.04(금) 16:00,"1.8,1.8",짝
2026-09-05T00:12:19+00:00,2026,105,8742,bs,NPB,승패,2,,야쿠르트 1,1 주니치,09.04(금) 18:00,"1.0,1.0",무승부
2026-09-05T00:12:19+00:00,2026,105,8743,bs,NPB,승①패,3,승①패,야쿠르트 1,1 주니치,09.04(금) 18:00,"2.85,2.95,2.18",①
2026-09-05T00:12:19+00:00,2026,105,8744,bs,NPB,핸디캡,2,H +2.5,야쿠르트 3.5,1 주니치,09.04(금) 18:00,"1.26,2.92",핸디승
2026-09-05T00:12:19+00:00,2026,105,8745,bs,NPB,언더오버,2,U 7.5,야쿠르트,주니치,09.04(금) 18:00,"1.66,1.87",언더
2026-09-05T00:12:19+00:00,2026,105,8746,bs,NPB,홀짝,2,,야쿠르트,주니치,09.04(금) 18:00,"1.64,1.99",짝
2026-09-05T00:12:19+00:00,2026,105,8747,bs,NPB,승패,2,,히로카프 1,3 요미우리,09.04(금) 18:00,"1.91,1.63",홈패
2026-09-05T00:12:19+00:00,2026,105,8748,bs,NPB,승①패,3,승①패,히로카프 1,3 요미우리,09.04(금) 18:00,"3.1,2.7,2.19",홈패
2026-09-05T00:12:19+00:00,2026,105,8749,bs,NPB,핸디캡,2,H +2.5,히로카프 3.5,3 요미우리,09.04(금) 18:00,"1.24,3.03",핸디승
2026-09-05T00:12:19+00:00,2026,105,8750,bs,NPB,언더오버,2,U 6.5,히로카프,요미우리,09.04(금) 18:00,"1.74,1.78",언더
