ts,year,round,game_no,sport,league,market_family,n_way,market_label,home,away,date_text,odds,result
2026-09-01T00:22:13+00:00,2026,103,8058,bs,MLB,승패,2,,시카컵스 5,7 신시레즈,08.31(월) 08:20,"1.55,2.04",홈패
2026-09-01T00:22:13+00:00,2026,103,8059,bs,MLB,승①패,3,승①패,시카컵스 5,7 신시레즈,08.31(월) 08:20,"2.14,3.35,2.6",홈패
2026-09-01T00:22:13+00:00,2026,103,8060,bs,MLB,핸디캡,2,H -2.5,시카컵스 2.5,7 신시레즈,08.31(월) 08:20,"2.92,1.26",핸디패
2026-09-01T00:22:13+00:00,2026,103,8061,bs,MLB,언더오버,2,U 8.5,시카컵스,신시레즈,08.31(월) 08:20,"1.94,1.61",오버
2026-09-01T00:22:13+00:00,2026,103,8062,bs,MLB,홀짝,2,,시카컵스,신시레즈,08.31(월) 08:20,"1.59,2.07",짝
2026-09-01T00:22:13+00:00,2026,103,8063,bs,MLB,전반승무패,3,h(전반),시카컵스 3,6 신시레즈,08.31(월) 08:20,"1.84,5.8,2.3",홈패
2026-09-01T00:22:13+00:00,2026,103,8064,bs,MLB,전반핸디캡,2,h H -1.5,시카컵스 1.5,6 신시레즈,08.31(월) 08:20,"2.64,1.32",핸디패
2026-09-01T00:22:13+00:00,2026,103,8065,bs,MLB,전반언더오버,2,h U 4.5,시카컵스,신시레즈,08.31(월) 08:20,"1.82,1.7",오버
2026-09-01T00:22:13+00:00,2026,103,8066,bk,남농월예,승패,2,,한국M 85,72 사우디M,08.31(월) 19:00,"1.11,4.25",홈승
2026-09-01T00:22:13+00:00,2026,103,8067,bk,남농월예,핸디캡,2,H -11.5,한국M 73.5,72 사우디M,08.31(월) 19:00,"1.76,1.76",핸디승
2026-09-01T00:22:13+00:00,2026,103,8068,bk,남농월예,언더오버,2,U 163.5,한국M,사우디M,08.31(월) 19:00,"1.77,1.75",언더
2026-09-01T00:22:13+00:00,2026,103,8069,bk,남농월예,홀짝,2,,한국M,사우디M,08.31(월) 19:00,"1.8,1.8",홀
2026-09-01T00:22:13+00:00,2026,103,8070,bk,남농월예,승패,2,,일본M 123,70 카타르M,08.31(월) 19:10,"1.0,1.0",홈승
2026-09-01T00:22:13+00:00,2026,103,8071,bk,남농월예,핸디캡,2,H -36.5,일본M 86.5,70 카타르M,08.31(월) 19:10,"1.74,1.78",핸디승
2026-09-01T00:22:13+00:00,2026,103,8072,bk,남농월예,언더오버,2,U 169.5,일본M,카타르M,08.31(월) 19:10,"1.79,1.73",오버
2026-09-01T00:22:13+00:00,2026,103,8073,bk,남농월예,홀짝,2,,일본M,카타르M,08.31(월) 19:10,"1.8,1.8",홀
2026-09-01T00:22:13+00:00,2026,103,8074,bk,남농월예,승패,2,,중국M 89,87 레바논M,08.31(월) 20:30,"1.39,2.4",홈승
2026-09-01T00:22:13+00:00,2026,103,8075,bk,남농월예,핸디캡,2,H -4.5,중국M 84.5,87 레바논M,08.31(월) 20:30,"1.77,1.75",핸디패
2026-09-01T00:22:13+00:00,2026,103,8076,bk,남농월예,언더오버,2,U 166.5,중국M,레바논M,08.31(월) 20:30,"1.79,1.73",오버
2026-09-01T00:22:13+00:00,2026,103,8077,bk,남농월예,홀짝,2,,중국M,레바논M,08.31(월) 20:30,"1.8,1.8",짝
2026-09-01T00:22:13+00:00,2026,103,8078,bk,남농월예,승패,2,,리투아M 78,73 보스니M,09.01(화) 00:30,"1.93,1.62",홈승
2026-09-01T00:22:13+00:00,2026,103,8079,bk,남농월예,핸디캡,2,H +2.5,리투아M 80.5,73 보스니M,09.01(화) 00:30,"1.73,1.79",핸디승
2026-09-01T00:22:13+00:00,2026,103,8080,bk,남농월예,언더오버,2,U 166.5,리투아M,보스니M,09.01(화) 00:30,"1.79,1.73",언더
2026-09-01T00:22:13+00:00,2026,103,8081,bk,남농월예,홀짝,2,,리투아M,보스니M,09.01(화) 00:30,"1.8,1.8",홀
2026-09-01T00:22:13+00:00,2026,103,8082,bk,남농월예,승패,2,,그리스M 108,106 스페인M,09.01(화) 01:00,"1.87,1.66",홈승
2026-09-01T00:22:13+00:00,2026,103,8083,bk,남농월예,핸디캡,2,H +1.5,그리스M 109.5,106 스페인M,09.01(화) 01:00,"1.75,1.77",핸디승
2026-09-01T00:22:13+00:00,2026,103,8084,bk,남농월예,언더오버,2,U 162.5,그리스M,스페인M,09.01(화) 01:00,"1.76,1.76",오버
2026-09-01T00:22:13+00:00,2026,103,8085,bk,남농월예,홀짝,2,,그리스M,스페인M,09.01(화) 01:00,"1.8,1.8",짝
2026-09-01T00:22:13+00:00,2026,103,8086,sc,세리에A,승무패,3,,US레체 0,4 AS로마,09.01(화) 01:30,"6.2,3.95,1.36",홈패
2026-09-01T00:22:13+00:00,2026,103,8087,sc,세리에A,핸디캡,3,H +1.0,US레체 1,4 AS로마,09.01(화) 01:30,"2.65,3.0,2.28",핸디패
2026-09-01T00:22:13+00:00,2026,103,8088,sc,세리에A,핸디캡,3,H +2.0,US레체 2,4 AS로마,09.01(화) 01:30,"1.52,3.9,4.25",핸디패
2026-09-01T00:22:13+00:00,2026,103,8089,sc,세리에A,언더오버,2,U 2.5,US레체,AS로마,09.01(화) 01:30,"1.73,1.79",오버
2026-09-01T00:22:13+00:00,2026,103,8090,sc,세리에A,홀짝,2,,US레체,AS로마,09.01(화) 01:30,"1.81,1.79",짝
2026-09-01T00:22:13+00:00,2026,103,8091,sc,라리가,승무패,3,,오사수나 1,0 헤타페,09.01(화) 02:30,"2.03,2.6,3.85",홈승
2026-09-01T00:22:13+00:00,2026,103,8092,sc,라리가,핸디캡,3,H -1.0,오사수나 0,0 헤타페,09.01(화) 02:30,"4.55,3.05,1.66",핸디무
2026-09-01T00:22:13+00:00,2026,103,8093,sc,라리가,핸디캡,3,H -2.0,오사수나 -1,0 헤타페,09.01(화) 02:30,"11.5,5.9,1.12",핸디패
2026-09-01T00:22:13+00:00,2026,103,8094,sc,라리가,언더오버,2,U 2.5,오사수나,헤타페,09.01(화) 02:30,"1.35,2.61",언더
