ts,year,round,game_no,sport,league,market_family,n_way,market_label,home,away,date_text,odds,result
2026-08-29T00:03:59+00:00,2026,101,6438,bs,MLB,승패,2,,뉴욕양키 7,9 휴스애스,08.26(수) 08:05,"1.54,2.05",홈패
2026-08-29T00:03:59+00:00,2026,101,6439,bs,MLB,승①패,3,승①패,뉴욕양키 7,9 휴스애스,08.26(수) 08:05,"2.11,3.35,2.65",홈패
2026-08-29T00:03:59+00:00,2026,101,6440,bs,MLB,핸디캡,2,H -2.5,뉴욕양키 4.5,9 휴스애스,08.26(수) 08:05,"2.82,1.28",핸디패
2026-08-29T00:03:59+00:00,2026,101,6441,bs,MLB,언더오버,2,U 8.5,뉴욕양키,휴스애스,08.26(수) 08:05,"1.96,1.60",오버
2026-08-29T00:03:59+00:00,2026,101,6442,bs,MLB,홀짝,2,,뉴욕양키,휴스애스,08.26(수) 08:05,"1.59,2.07",짝
2026-08-29T00:03:59+00:00,2026,101,6443,bs,MLB,승패,2,,토론블루 3,5 캔자로얄,08.26(수) 08:07,"1.65,1.89",홈패
2026-08-29T00:03:59+00:00,2026,101,6444,bs,MLB,승①패,3,승①패,토론블루 3,5 캔자로얄,08.26(수) 08:07,"2.33,3.30,2.40",홈패
2026-08-29T00:03:59+00:00,2026,101,6445,bs,MLB,핸디캡,2,H -2.5,토론블루 0.5,5 캔자로얄,08.26(수) 08:07,"3.23,1.21",핸디패
2026-08-29T00:03:59+00:00,2026,101,6446,bs,MLB,언더오버,2,U 8.5,토론블루,캔자로얄,08.26(수) 08:07,"1.78,1.74",언더
2026-08-29T00:03:59+00:00,2026,101,6447,bs,MLB,홀짝,2,,토론블루,캔자로얄,08.26(수) 08:07,"1.59,2.07",짝
2026-08-29T00:03:59+00:00,2026,101,6448,bs,MLB,승패,2,,뉴욕메츠 3,2 밀워브루,08.26(수) 08:10,"2.24,1.45",홈승
2026-08-29T00:03:59+00:00,2026,101,6449,bs,MLB,승①패,3,승①패,뉴욕메츠 3,2 밀워브루,08.26(수) 08:10,"3.50,3.30,1.78",①
2026-08-29T00:03:59+00:00,2026,101,6450,bs,MLB,핸디캡,2,H +2.5,뉴욕메츠 5.5,2 밀워브루,08.26(수) 08:10,"1.42,2.31",핸디승
2026-08-29T00:03:59+00:00,2026,101,6451,bs,MLB,언더오버,2,U 7.5,뉴욕메츠,밀워브루,08.26(수) 08:10,"1.79,1.73",언더
2026-08-29T00:03:59+00:00,2026,101,6452,bs,MLB,홀짝,2,,뉴욕메츠,밀워브루,08.26(수) 08:10,"1.59,2.07",홀
2026-08-29T00:03:59+00:00,2026,101,6453,bs,MLB,승패,2,,애틀브레 4,3 LA다저스,08.26(수) 08:15,"2.19,1.47",홈승
2026-08-29T00:03:59+00:00,2026,101,6454,bs,MLB,승①패,3,승①패,애틀브레 4,3 LA다저스,08.26(수) 08:15,"3.40,3.35,1.80",①
2026-08-29T00:03:59+00:00,2026,101,6455,bs,MLB,핸디캡,2,H +2.5,애틀브레 6.5,3 LA다저스,08.26(수) 08:15,"1.41,2.34",핸디승
2026-08-29T00:03:59+00:00,2026,101,6456,bs,MLB,언더오버,2,U 8.5,애틀브레,LA다저스,08.26(수) 08:15,"1.68,1.85",언더
2026-08-29T00:03:59+00:00,2026,101,6457,bs,MLB,홀짝,2,,애틀브레,LA다저스,08.26(수) 08:15,"1.59,2.07",홀
2026-08-29T00:03:59+00:00,2026,101,6458,bs,MLB,승패,2,,시카화이 11,7 텍사레인,08.26(수) 08:40,"1.81,1.71",홈승
2026-08-29T00:03:59+00:00,2026,101,6459,bs,MLB,승①패,3,승①패,시카화이 11,7 텍사레인,08.26(수) 08:40,"2.65,3.25,2.15",홈승
2026-08-29T00:03:59+00:00,2026,101,6460,bs,MLB,핸디캡,2,H +2.5,시카화이 13.5,7 텍사레인,08.26(수) 08:40,"1.27,2.87",핸디승
2026-08-29T00:03:59+00:00,2026,101,6461,bs,MLB,언더오버,2,U 7.5,시카화이,텍사레인,08.26(수) 08:40,"1.77,1.75",오버
2026-08-29T00:03:59+00:00,2026,101,6462,bs,MLB,홀짝,2,,시카화이,텍사레인,08.26(수) 08:40,"1.58,2.09",짝
2026-08-29T00:03:59+00:00,2026,101,6463,bs,MLB,승패,2,,세인카디 1,13 볼티오리,08.26(수) 08:45,"1.66,1.87",홈패
2026-08-29T00:03:59+00:00,2026,101,6464,bs,MLB,승①패,3,승①패,세인카디 1,13 볼티오리,08.26(수) 08:45,"2.33,3.30,2.40",홈패
2026-08-29T00:03:59+00:00,2026,101,6465,bs,MLB,핸디캡,2,H -2.5,세인카디 -1.5,13 볼티오리,08.26(수) 08:45,"3.23,1.21",핸디패
2026-08-29T00:03:59+00:00,2026,101,6466,bs,MLB,언더오버,2,U 8.5,세인카디,볼티오리,08.26(수) 08:45,"1.77,1.75",오버
